episode,learning_rate,epsilon,threshold
0,0.001,1.0,1.0
1,0.001,0.901,0.9983333333333333
2,0.001,0.802,0.9966666666666667
3,0.001,0.7030000000000001,0.995
4,0.001,0.604,0.9933333333333333
5,0.001,0.505,0.9916666666666667
6,0.001,0.406,0.99
7,0.001,0.30700000000000005,0.9883333333333333
8,0.001,0.20799999999999996,0.9866666666666667
9,0.001,0.10899999999999999,0.985
